facility,year,quarter,art_current,art_new
dovof,2016,2,2211,139
dovof,2016,3,2274,192
dovof,2016,4,2272,129
dovof,2017,1,2361,172
dovof,2017,2,2416,155
dovof,2017,3,2478,172
dovof,2017,4,2469,157
dovof,2018,1,2502,163
dovof,2018,2,2568,156
dovof,2018,3,2585,156
dovof,2018,4,2566,121
dovof,2019,1,2614,144
dovof,2019,2,2610,135
dovof,2019,3,2619,137
dovof,2019,4,2634,142
dovof,2020,2,2633,114
dovof,2020,1,2631,148
kojan,2015,1,4912,258
kojan,2015,2,4937,209
kojan,2015,3,5036,159
kojan,2015,4,5079,178
kojan,2016,1,5177,192
kojan,2016,2,5232,190
kojan,2016,3,5321,215
kojan,2016,4,5116,123
kojan,2017,1,5010,134
kojan,2017,2,5054,218
kojan,2017,3,5115,166
kojan,2017,4,5161,135
kojan,2018,1,5206,164
kojan,2018,2,5264,136
kojan,2018,3,5264,106
kojan,2018,4,5300,126
kojan,2019,1,5345,167
kojan,2019,2,5387,126
kojan,2019,3,5317,119
kojan,2019,4,5331,123
kojan,2020,2,5402,95
kojan,2020,1,5396,123
pikoj,2015,1,10641,458
pikoj,2015,2,10789,536
pikoj,2015,3,10919,443
pikoj,2015,4,10915,393
pikoj,2016,1,10936,359
pikoj,2016,2,11238,571
pikoj,2016,3,11353,457
pikoj,2016,4,11430,458
pikoj,2017,1,11466,736
pikoj,2017,2,11936,724
pikoj,2017,3,12225,691
pikoj,2017,4,12443,787
pikoj,2018,1,12996,1091
pikoj,2018,2,13392,1080
pikoj,2018,3,13640,952
pikoj,2018,4,13797,860
pikoj,2019,1,14046,745
pikoj,2019,2,14160,673
pikoj,2019,3,14374,723
pikoj,2019,4,14721,740
pikoj,2020,2,15009,379
pikoj,2020,1,15026,701
mukig,2015,1,4875,249
mukig,2015,2,4840,193
mukig,2015,3,4983,303
mukig,2015,4,5049,269
mukig,2016,1,5168,243
mukig,2016,2,5288,271
mukig,2016,3,5458,330
mukig,2016,4,5562,293
mukig,2017,1,5646,293
mukig,2017,2,5684,292
mukig,2017,3,5863,282
mukig,2017,4,6065,278
mukig,2018,1,6097,338
mukig,2018,2,6156,263
mukig,2018,3,6183,268
mukig,2018,4,6196,236
mukig,2019,1,6301,271
mukig,2019,2,6328,255
mukig,2019,3,6440,258
mukig,2019,4,6436,235
mukig,2020,2,6409,162
mukig,2020,1,6451,255
somig,2015,1,981,22
somig,2015,2,1013,26
somig,2015,3,1010,27
somig,2015,4,992,25
somig,2016,1,997,21
somig,2016,2,1107,21
somig,2016,3,1012,19
somig,2016,4,981,23
somig,2017,1,147,8
lomor,2015,1,2700,82
lomor,2015,2,2706,88
lomor,2015,3,2694,80
lomor,2015,4,2661,85
lomor,2016,1,2748,84
lomor,2016,2,2763,72
lomor,2016,3,2799,91
lomor,2016,4,2787,63
lomor,2017,1,2771,61
lomor,2017,2,2770,60
lomor,2017,3,2779,64
lomor,2017,4,2821,68
lomor,2018,1,2795,62
lomor,2018,2,2794,66
lomor,2018,3,2760,54
lomor,2018,4,2763,67
lomor,2019,1,2782,64
lomor,2019,2,2750,79
lomor,2019,3,2712,66
lomor,2019,4,2708,62
lomor,2020,2,2721,43
lomor,2020,1,2714,65
rajik,2015,1,1090,50
rajik,2015,2,1089,21
rajik,2015,3,1074,42
rajik,2015,4,1050,34
rajik,2016,1,1108,46
rajik,2016,2,1038,25
rajik,2016,3,1067,38
